date,WBA,isPartial
2011-08-01,16,False
2011-08-02,21,False
2011-08-03,24,False
2011-08-04,19,False
2011-08-05,21,False
2011-08-06,24,False
2011-08-07,23,False
2011-08-08,20,False
2011-08-09,15,False
2011-08-10,21,False
2011-08-11,17,False
2011-08-12,27,False
2011-08-13,25,False
2011-08-14,100,False
2011-08-15,40,False
2011-08-16,22,False
2011-08-17,20,False
2011-08-18,18,False
2011-08-19,21,False
2011-08-20,65,False
2011-08-21,25,False
2011-08-22,17,False
2011-08-23,19,False
2011-08-24,16,False
2011-08-25,19,False
2011-08-26,17,False
2011-08-27,24,False
2011-08-28,36,False
2011-08-29,16,False
2011-08-30,16,False
2011-08-31,26,False
2011-09-01,16,False
2011-09-02,16,False
2011-09-03,14,False
2011-09-04,14,False
2011-09-05,13,False
2011-09-06,12,False
2011-09-07,11,False
2011-09-08,14,False
2011-09-09,10,False
2011-09-10,19,False
2011-09-11,37,False
2011-09-12,20,False
2011-09-13,11,False
2011-09-14,12,False
2011-09-15,13,False
2011-09-16,16,False
2011-09-17,22,False
2011-09-18,16,False
2011-09-19,12,False
2011-09-20,17,False
2011-09-21,20,False
2011-09-22,16,False
2011-09-23,13,False
2011-09-24,17,False
2011-09-25,21,False
2011-09-26,9,False
2011-09-27,15,False
2011-09-28,13,False
2011-09-29,12,False
2011-09-30,13,False
2011-10-01,24,False
2011-10-02,13,False
2011-10-03,13,False
2011-10-04,15,False
2011-10-05,11,False
2011-10-06,13,False
2011-10-07,13,False
2011-10-08,14,False
2011-10-09,9,False
2011-10-10,13,False
2011-10-11,16,False
2011-10-12,12,False
2011-10-13,15,False
2011-10-14,13,False
2011-10-15,17,False
2011-10-16,34,False
2011-10-17,14,False
2011-10-18,13,False
2011-10-19,13,False
2011-10-20,12,False
2011-10-21,13,False
2011-10-22,24,False
2011-10-23,26,False
2011-10-24,22,False
2011-10-25,14,False
2011-10-26,13,False
2011-10-27,12,False
2011-10-28,17,False
2011-10-29,52,False
2011-10-30,30,False
2011-10-31,18,False
2011-11-01,14,False
2011-11-02,14,False
2011-11-03,14,False
2011-11-04,16,False
2011-11-05,55,False
2011-11-06,28,False
2011-11-07,18,False
2011-11-08,15,False
2011-11-09,16,False
2011-11-10,14,False
2011-11-11,10,False
2011-11-12,13,False
2011-11-13,22,False
2011-11-14,16,False
2011-11-15,14,False
2011-11-16,14,False
2011-11-17,11,False
2011-11-18,12,False
2011-11-19,23,False
2011-11-20,19,False
2011-11-21,18,False
2011-11-22,13,False
2011-11-23,10,False
2011-11-24,14,False
2011-11-25,15,False
2011-11-26,35,False
2011-11-27,17,False
2011-11-28,15,False
2011-11-29,14,False
2011-11-30,12,False
2011-12-01,15,False
2011-12-02,15,False
2011-12-03,21,False
2011-12-04,23,False
2011-12-05,15,False
2011-12-06,15,False
2011-12-07,15,False
2011-12-08,18,False
2011-12-09,15,False
2011-12-10,14,False
2011-12-11,16,False
2011-12-12,13,False
2011-12-13,15,False
2011-12-14,11,False
2011-12-15,10,False
2011-12-16,17,False
2011-12-17,20,False
2011-12-18,20,False
2011-12-19,13,False
2011-12-20,15,False
2011-12-21,26,False
2011-12-22,20,False
2011-12-23,10,False
2011-12-24,11,False
2011-12-25,15,False
2011-12-26,37,False
2011-12-27,17,False
2011-12-28,15,False
2011-12-29,13,False
2011-12-30,16,False
2011-12-31,21,False
2012-01-01,64,False
2012-01-02,25,False
2012-01-03,51,False
2012-01-04,23,False
2012-01-05,22,False
2012-01-06,29,False
2012-01-07,32,False
2012-01-08,31,False
2012-01-09,23,False
2012-01-10,24,False
2012-01-11,18,False
2012-01-12,21,False
2012-01-13,23,False
2012-01-14,33,False
2012-01-15,21,False
2012-01-16,20,False
2012-01-17,16,False
2012-01-18,21,False
2012-01-19,20,False
2012-01-20,27,False
2012-01-21,35,False
2012-01-22,20,False
2012-01-23,24,False
2012-01-24,23,False
2012-01-25,22,False
2012-01-26,18,False
2012-01-27,19,False
2012-01-28,32,False
2012-01-29,20,False
2012-01-30,21,False
2012-01-31,26,False
2012-02-01,29,False
2012-02-02,25,False
2012-02-03,15,False
2012-02-04,26,False
2012-02-05,22,False
2012-02-06,22,False
2012-02-07,14,False
2012-02-08,21,False
2012-02-09,19,False
2012-02-10,18,False
2012-02-11,21,False
2012-02-12,54,False
2012-02-13,27,False
2012-02-14,20,False
2012-02-15,17,False
2012-02-16,23,False
2012-02-17,21,False
2012-02-18,32,False
2012-02-19,27,False
2012-02-20,23,False
2012-02-21,20,False
2012-02-22,24,False
2012-02-23,20,False
2012-02-24,15,False
2012-02-25,55,False
2012-02-26,35,False
2012-02-27,21,False
2012-02-28,21,False
2012-02-29,24,False
2012-03-01,21,False
2012-03-02,20,False
2012-03-03,58,False
2012-03-04,45,False
2012-03-05,33,False
2012-03-06,24,False
2012-03-07,20,False
2012-03-08,13,False
2012-03-09,22,False
2012-03-10,26,False
2012-03-11,86,False
2012-03-12,31,False
2012-03-13,15,False
2012-03-14,18,False
2012-03-15,17,False
2012-03-16,19,False
2012-03-17,26,False
2012-03-18,16,False
2012-03-19,15,False
2012-03-20,17,False
2012-03-21,16,False
2012-03-22,19,False
2012-03-23,21,False
2012-03-24,23,False
2012-03-25,45,False
2012-03-26,25,False
2012-03-27,17,False
2012-03-28,17,False
2012-03-29,14,False
2012-03-30,16,False
2012-03-31,28,False
2012-04-01,15,False
2012-04-02,15,False
2012-04-03,21,False
2012-04-04,25,False
2012-04-05,25,False
2012-04-06,22,False
2012-04-07,24,False
2012-04-08,22,False
2012-04-09,20,False
2012-04-10,24,False
2012-04-11,42,False
